OBJECTID,safield002,safield003,sauid,saangle,sasize,sasymbolno,safield000,x,y,objectid_1,x1,y1
983,松原1-22-14,,,,,,,139.6538113,35.66560684,983,139.6538113,35.66560684
984,松原1-22-17,,,,,,,139.653907,35.66523066,984,139.653907,35.66523066
985,松原1-21-3,,,,,,,139.6531926,35.66562619,985,139.6531926,35.66562619
986,松原1-21-13,,,,,,,139.6535991,35.66618457,986,139.6535991,35.66618457
987,豪徳寺2-4-2,,,,,,,139.6489421,35.64572256,987,139.6489421,35.64572256
988,豪徳寺1-52-14,,,,,,,139.6479565,35.6559914,988,139.6479565,35.6559914
989,羽根木2-37-13,,,,,,,139.6552518,35.66531315,989,139.6552518,35.66531315
990,羽根木2-35-19,,,,,,,139.6564016,35.66532115,990,139.6564016,35.66532115
991,羽根木2-32-10,,,,,,,139.6556269,35.66586705,991,139.6556269,35.66586705
992,羽根木2-28-6,,,,,,,139.6546814,35.66584997,992,139.6546814,35.66584997
993,羽根木2-27-26,,,,,,,139.6563327,35.66618988,993,139.6563327,35.66618988
994,羽根木1-26-6,,,,,,,139.6581124,35.6660397,994,139.6581124,35.6660397
995,羽根木2-26-20,,,,,,,139.657754,35.66604585,995,139.657754,35.66604585
996,羽根木1-25-7,,,,,,,139.6585936,35.66632136,996,139.6585936,35.66632136
997,羽根木1-12-2,,,,,,,139.6600658,35.6666003,997,139.6600658,35.6666003
998,羽根木1-10-4,,,,,,,139.6606752,35.66681074,998,139.6606752,35.66681074
999,羽根木1-9-13,,,,,,,139.6608384,35.66646629,999,139.6608384,35.66646629
1000,代田6-18-11,,,,,,,139.6616106,35.66660458,1000,139.6616106,35.66660458
1001,北沢2-38-4,,,,,,,139.6666717,35.66398167,1001,139.6666717,35.66398167
1002,代田6-29-8,,,,,,,139.6609167,35.66406794,1002,139.6609167,35.66406794
1003,北沢３－９－４,,,,,,,139.6706748,35.66427153,1003,139.6706748,35.66427153
1004,北沢1-18-2,,,,,,,139.6743053,35.66382992,1004,139.6743053,35.66382992
1005,北沢1-7-12,,,,,,,139.6743831,35.66134052,1005,139.6743831,35.66134052
1006,北沢1-6-6,,,,,,,139.674413,35.66108511,1006,139.674413,35.66108511
1007,北沢1-11-3,,,,,,,139.6750482,35.66141973,1007,139.6750482,35.66141973
1008,北沢1-13-21,,,,,,,139.676262,35.661363,1008,139.676262,35.661363
1009,北沢1-14-7,,,,,,,139.6757354,35.66204123,1009,139.6757354,35.66204123
1010,北沢1-14-6,,,,,,,139.6759242,35.66186994,1010,139.6759242,35.66186994
1011,北沢1-2-11,,,,,,,139.6763237,35.66096575,1011,139.6763237,35.66096575
1012,北沢1-5-2,,,,,,,139.6750503,35.66083077,1012,139.6750503,35.66083077
1013,代沢2-48-22,,,,,,,139.674684,35.66069247,1013,139.674684,35.66069247
1014,代沢2-48-28,,,,,,,139.6755955,35.66073621,1014,139.6755955,35.66073621
1015,代沢2-48-11,,,,,,,139.6743664,35.66034502,1015,139.6743664,35.66034502
1016,代沢2-41-10,,,,,,,139.674422,35.66021512,1016,139.674422,35.66021512
1017,代沢2-40-15,,,,,,,139.6743332,35.65979956,1017,139.6743332,35.65979956
1018,代沢2-40-22,,,,,,,139.6752387,35.65996624,1018,139.6752387,35.65996624
1019,代沢1-34-4,,,,,,,139.6752614,35.65915359,1019,139.6752614,35.65915359
1020,代沢1-14-1,,,,,,,139.677882,35.65920883,1020,139.677882,35.65920883
1021,代沢1-37-13,,,,,,,139.676348,35.65921,1021,139.676348,35.65921
1022,代沢1-37-8,,,,,,,139.6756719,35.6587962,1022,139.6756719,35.6587962
1023,代沢2-38-13,,,,,,,139.6746987,35.65882557,1023,139.6746987,35.65882557
1024,代沢2-38-4,,,,,,,139.6744944,35.65839777,1024,139.6744944,35.65839777
1025,代沢2-38-2,,,,,,,139.6748233,35.65835756,1025,139.6748233,35.65835756
1026,代沢1-31-14,,,,,,,139.6758747,35.65866144,1026,139.6758747,35.65866144
1027,代沢1-16-12,,,,,,,139.6775127,35.65872261,1027,139.6775127,35.65872261
1028,代沢1-20-10,,,,,,,139.6776552,35.65821964,1028,139.6776552,35.65821964
1029,代沢1-22-12,,,,,,,139.6784065,35.65775839,1029,139.6784065,35.65775839
1030,代沢1-17-3,,,,,,,139.6764424,35.65753276,1030,139.6764424,35.65753276
1031,代沢1-11-4,,,,,,,139.678832,35.65764482,1031,139.678832,35.65764482
1032,代沢1-23-17,,,,,,,139.6771241,35.65731073,1032,139.6771241,35.65731073
1033,代沢1-23-17,,,,,,,139.6769025,35.65715072,1033,139.6769025,35.65715072
1034,代沢1-24-30,,,,,,,139.6762603,35.65660365,1034,139.6762603,35.65660365
1035,代沢1-9-7,,,,,,,139.6784012,35.657123,1035,139.6784012,35.657123
1036,代沢1-8-9,,,,,,,139.6786265,35.65669009,1036,139.6786265,35.65669009
1037,代沢1-6-5,,,,,,,139.6792162,35.65694116,1037,139.6792162,35.65694116
1038,代沢1-2-21,,,,,,,139.6803277,35.65648657,1038,139.6803277,35.65648657
1039,代沢1-5-2,,,,,,,139.6796703,35.65607687,1039,139.6796703,35.65607687
1040,代沢1-3-5,,,,,,,139.6790851,35.65585006,1040,139.6790851,35.65585006
1041,代沢1-3-6,,,,,,,139.6790399,35.65568694,1041,139.6790399,35.65568694
1042,代沢1-23-1,,,,,,,139.6784742,35.6557787,1042,139.6784742,35.6557787
1043,代沢1-25-5,,,,,,,139.675701,35.65614529,1043,139.675701,35.65614529
1044,代沢1-26-13,,,,,,,139.6761477,35.65572566,1044,139.6761477,35.65572566
1045,池尻4-34-18,,,,,,,139.6755118,35.65509512,1045,139.6755118,35.65509512
1046,代沢1-29-4,,,,,,,139.6752001,35.65595427,1046,139.6752001,35.65595427
1047,代沢1-29-24,,,,,,,139.6755789,35.65691103,1047,139.6755789,35.65691103
1048,池尻4-34-21,,,,,,,139.6755279,35.65457658,1048,139.6755279,35.65457658
1049,池尻4-33-24,,,,,,,139.6759108,35.6543402,1049,139.6759108,35.6543402
1050,代沢2-3-20,,,,,,,139.6744053,35.65734332,1050,139.6744053,35.65734332
1051,北沢1-15-17,,,,,,,139.6751369,35.6628542,1051,139.6751369,35.6628542
1052,松原2-37-19,,,,,,,139.6475812,35.66799405,1052,139.6475812,35.66799405
1053,松原2-37-10,,,,,,,139.6467569,35.66823073,1053,139.6467569,35.66823073
1054,松原2-33-25,,,,,,,139.646841,35.66750057,1054,139.646841,35.66750057
1055,桜上水5-32-5,,,,,,,139.6288638,35.66761309,1055,139.6288638,35.66761309
1056,桜上水5-32-5,,,,,,,139.6292208,35.66745631,1056,139.6292208,35.66745631
1057,桜上水5-33-4,,,,,,,139.6280825,35.66778806,1057,139.6280825,35.66778806
1058,桜上水5-35-11,,,,,,,139.6273043,35.66779611,1058,139.6273043,35.66779611
1059,松原3-41-15,,,,,,,139.6417656,35.66742176,1059,139.6417656,35.66742176
1060,松原3-39-22,,,,,,,139.6434871,35.66762495,1060,139.6434871,35.66762495
1061,松原3-39-29,,,,,,,139.6445411,35.66775893,1061,139.6445411,35.66775893
1062,松原2-34-11,,,,,,,139.6449909,35.66779253,1062,139.6449909,35.66779253
1063,松原2-34-6,,,,,,,139.6453015,35.66739551,1063,139.6453015,35.66739551
1064,桜上水5-31-3,,,,,,,139.6291905,35.66861597,1064,139.6291905,35.66861597
1065,桜上水5-27-3,,,,,,,139.630017,35.66754581,1065,139.630017,35.66754581
1066,桜上水5-27-13,,,,,,,139.6305285,35.6672997,1066,139.6305285,35.6672997
