市区町村コード,NO,都道府県名,市区町村名,種別,住所（都道府県）,住所（市区町村）,住所（町名番地）,方書,緯度,経度,消火器番号,備考
013206,0000002014,東京都,府中市,その他,東京都,府中市,白糸台4丁目32番地3,,35.6635776,139.506594,02-014,
013206,0000002015,東京都,府中市,その他,東京都,府中市,白糸台1丁目83番地10,,35.66423527,139.5059994,02-015,
013206,0000002016,東京都,府中市,その他,東京都,府中市,白糸台4丁目28番地2,,35.66427261,139.5080509,02-016,
013206,0000002017,東京都,府中市,その他,東京都,府中市,白糸台3丁目9番地,,35.66451321,139.5158129,02-017,
013206,0000002019,東京都,府中市,その他,東京都,府中市,白糸台3丁目18番地8,,35.66601549,139.5178408,02-019,
013206,0000002020,東京都,府中市,その他,東京都,府中市,白糸台3丁目38番地,,35.66664146,139.5186278,02-020,
013206,0000002021,東京都,府中市,その他,東京都,府中市,白糸台3丁目14番地,,35.66655105,139.516199,02-021,
013206,0000002022,東京都,府中市,その他,東京都,府中市,白糸台3丁目6番地7,,35.66620141,139.5145718,02-022,
013206,0000002023,東京都,府中市,その他,東京都,府中市,白糸台3丁目17番地8,,35.66463876,139.5179286,02-023,
013206,0000002024,東京都,府中市,その他,東京都,府中市,白糸台3丁目9番地9,,35.66526266,139.5163458,02-024,
013206,0000002025,東京都,府中市,その他,東京都,府中市,白糸台2丁目60番地,,35.66599561,139.5133714,02-025,
013206,0000002026,東京都,府中市,その他,東京都,府中市,白糸台5丁目11番地,,35.66308118,139.5164934,02-026,
013206,0000002027,東京都,府中市,その他,東京都,府中市,白糸台4丁目22番地,,35.66348537,139.5101485,02-027,
013206,0000002028,東京都,府中市,その他,東京都,府中市,白糸台4丁目13番地,,35.66516848,139.511507,02-028,
013206,0000002029,東京都,府中市,その他,東京都,府中市,白糸台2丁目14番地3,,35.66697475,139.5127121,02-029,
013206,0000002030,東京都,府中市,その他,東京都,府中市,白糸台3丁目2番地,,35.66651036,139.513841,02-030,
013206,0000002031,東京都,府中市,その他,東京都,府中市,白糸台3丁目26番地,,35.66782394,139.515197,02-031,
013206,0000002032,東京都,府中市,その他,東京都,府中市,白糸台2丁目70番地,,35.66638093,139.5109534,02-032,
013206,0000002033,東京都,府中市,その他,東京都,府中市,白糸台6丁目16番地,,35.66269361,139.5200358,02-033,
