管理番号,消火器種別,所在,経度,緯度,備考
国-6-4,強化液消火器（３型）,東京都台東区花川戸1-11-6,139.7997699,35.71287116,
国-6-5,強化液消火器（３型）,東京都台東区花川戸1-3-3,139.7987245,35.71181878,
国-6-6,強化液消火器（３型）,東京都台東区花川戸1-2-3,139.7980773,35.71104637,
国-6-7,強化液消火器（３型）,東京都台東区雷門2-20-4,139.7975166,35.71024812,
国-6-8,強化液消火器（３型）,東京都台東区雷門2-2-8,139.7970904,35.70960923,
国-6-9,強化液消火器（３型）,東京都台東区雷門2-2-3,139.7964535,35.70892,
国-6-10,強化液消火器（３型）,東京都台東区駒形2-6-9,139.7954948,35.70762701,
国-6-11,強化液消火器（３型）,東京都台東区駒形2-6-3,139.795109,35.70709101,
国-6-12,強化液消火器（３型）,東京都台東区駒形2-5-4,139.7948133,35.70668414,
国-6-13,強化液消火器（３型）,東京都台東区駒形2-4-6,139.7939669,35.70564682,
国-6-14,強化液消火器（３型）,東京都台東区蔵前2-17-4,139.7930321,35.70481512,
国-6-15,強化液消火器（３型）,東京都台東区蔵前2-13-2,139.7921298,35.70407149,
国-6-16,強化液消火器（３型）,東京都台東区蔵前2-6-4,139.791655,35.70366949,
国-6-17,強化液消火器（３型）,東京都台東区蔵前2-5-3,139.7909319,35.70306896,
国-6-18,強化液消火器（３型）,東京都台東区蔵前2-3-4,139.7900225,35.70229683,
国-6-19,強化液消火器（３型）,東京都台東区蔵前2-2-4,139.789551,35.70187574,
国-6-20,強化液消火器（３型）,東京都台東区蔵前1-5-6,139.7886365,35.70060705,
国-6-21,強化液消火器（３型）,東京都台東区柳橋2-15-3,139.7881122,35.69987836,
国-6-22,強化液消火器（３型）,東京都台東区柳橋2-7-3,139.7874632,35.69891921,
国-6-23,強化液消火器（３型）,東京都台東区柳橋1-23-6,139.7870403,35.69827861,
国-6-24,強化液消火器（３型）,東京都台東区柳橋1-20-4,139.7866557,35.69766623,
国-6-25,強化液消火器（３型）,東京都台東区浅草橋1-9-14,139.7857432,35.69672085,
国-6-26,強化液消火器（３型）,東京都台東区浅草橋1-18-10,139.786249,35.6975524,
国-6-27,強化液消火器（３型）,東京都台東区浅草橋1-30-9,139.7867354,35.69834864,
国-6-28,強化液消火器（３型）,東京都台東区浅草橋2-29-15,139.7873087,35.69919653,
国-6-29,強化液消火器（３型）,東京都台東区浅草橋2-29-11,139.7875829,35.69959723,
国-6-30,強化液消火器（３型）,東京都台東区浅草橋3-20-18,139.7882692,35.70058916,
国-6-31,強化液消火器（３型）,東京都台東区浅草橋3-20-12,139.788752,35.70126329,
国-6-32,強化液消火器（３型）,東京都台東区蔵前4-5-10,139.78929,35.7020256,
国-6-33,強化液消火器（３型）,東京都台東区蔵前3-1-13,139.7901322,35.70284744,
